TOTUSJH,TOTUSJZ,SAVNCPP,USFLUX,ABSNJZH,TOTPOT,SIZE_ACR,NACR,MEANPOT,SIZE,MEANJZH,SHRGT45,MEANSHR,MEANJZD,MEANALP,MEANGBT,MEANGAM,MEANGBZ,MEANGBH
1057.927,23757910000000.0,12183370000000.0,1.277618e+22,52.487,1.199852e+23,2406.985596,27322.0,4073.368,19729.935547,0.00236641,20.464,31.565,1.04218674,0.00790276,122.422,41.928,123.276,61.93600000000001
416.307,9825158000000.0,2257199000000.0,5.529014e+21,41.41,2.768184e+22,481.878815,5450.0,2204.321,6317.563965,0.00437919,8.607999999999999,27.064,0.39743128,0.01714273,122.689,33.096,123.271,52.228
381.675,8373989000000.0,2132962000000.0,4.918326e+21,32.759,2.671828e+22,497.341156,5626.0,2566.465,6560.111816,0.00418005,9.108,27.017,0.51449049,0.01434508,125.913,33.659,127.579,55.333
426.798,10389460000000.0,2488190000000.0,5.26299e+21,27.633000000000006,3.042771e+22,520.03656,5884.0,2487.695,6740.059081999999,0.00300029,12.758,29.339,0.51094067,0.01158648,122.083,37.152,123.583,55.378
453.879,9979402000000.0,1365698000000.0,5.720235e+21,28.562,3.397221e+22,575.867249,6517.0,2690.9990000000007,7379.795898,0.00300459,10.183,27.564,0.27176055,0.01042298,129.466,36.405,128.875,61.236
605.7909999999998,12459860000000.0,1426470000000.0,5.868961e+21,30.486,4.435033e+22,628.7189940000002,7115.0,3454.558,7721.712401999999,0.00315364,18.403,31.692,0.27911943,0.009978399999999998,127.171,40.882,131.503,63.549
692.215,14769090000000.0,1344645000000.0,6.904337e+21,9.181,5.96678e+22,700.667542,7928.0,3661.701,8365.854492,-0.00074827,21.63,33.74,0.03229246,-0.00261982,121.381,43.212,124.591,65.184
820.227,15559190000000.0,3078102000000.0,7.389532e+21,36.512,7.915944e+22,756.549622,8558.0,4987.115,8702.176758,-0.00305514,22.958,33.913000000000004,-0.018309400000000003,-0.00881719,129.306,43.958,134.94899999999998,72.868
915.466,16848980000000.0,1266276000000.0,7.690885e+21,35.766,9.356325e+22,808.741638,9147.0,5591.4209999999985,9003.759766,-0.0028385999999999997,26.587,35.911,-0.00733102,-0.00806465,127.972,45.767,133.623,74.64399999999998
1126.562,21168980000000.0,2207870000000.0,8.908948e+21,18.555,1.426262e+23,953.471802,10778.0,7106.646,9751.456055,0.0012277999999999998,30.896,38.227,0.17723864,0.00345683,119.544,48.594,127.034,74.73899999999998
