HARP_NO,AR,Begin,End
1930,11542,2012-08-06 04:36:00,2012-08-15 12:24:00
4874,12222,2014-11-26 03:24:00,2014-12-04 12:00:00
948,11317,2011-10-10 18:24:00,2011-10-19 09:36:00
6246,12483,2016-01-07 00:24:00,2016-01-15 15:36:00
5983,12422,2015-09-22 08:00:00,2015-09-30 17:12:00
57,11082,2010-06-14 11:12:00,2010-06-22 19:36:00
43,11076,2010-05-31 04:12:00,2010-06-01 00:00:00
5099,12267,2015-01-18 01:36:00,2015-01-18 21:24:00
2912,11781,2013-06-27 20:12:00,2013-06-28 16:00:00
4344,12113,2014-07-06 04:36:00,2014-07-14 19:00:00
2735,11744,2013-05-08 18:24:00,2013-05-17 02:48:00
4422,12133,2014-08-01 00:36:00,2014-08-01 20:24:00
2047,11578,2012-09-19 14:12:00,2012-09-28 18:12:00
536,11202,2011-04-25 11:00:00,2011-04-26 06:48:00
7117,12674,2017-08-28 22:48:00,2017-09-07 06:12:00
8,11069,2010-05-02 14:36:00,2010-05-03 10:24:00
4152,12069,2014-05-18 15:48:00,2014-05-28 03:24:00
6745,12591,2016-09-07 09:48:00,2016-09-16 11:12:00
2245,11623,2012-11-26 21:24:00,2012-12-06 06:12:00
3985,12032,2014-04-07 07:24:00,2014-04-15 22:24:00
1638,11476,2012-05-04 13:00:00,2012-05-13 22:48:00
2331,11638,2012-12-26 19:36:00,2013-01-04 04:00:00
7261,12711,2018-05-22 20:36:00,2018-05-23 16:24:00
5462,12331,2015-04-16 11:36:00,2015-04-24 19:48:00
2696,11734,2013-04-26 15:36:00,2013-05-05 01:00:00
495,11190,2011-04-07 14:48:00,2011-04-16 07:48:00
6427,12522,2016-03-11 13:48:00,2016-03-12 11:48:00
318,11138,2010-12-26 09:36:00,2010-12-27 05:24:00
5112,12275,2015-01-24 11:00:00,2015-01-26 15:24:00
3563,11944,2013-12-30 21:00:00,2014-01-08 06:36:00
5107,12268,2015-01-21 15:48:00,2015-01-30 11:00:00
5113,12276,2015-01-25 03:48:00,2015-02-02 18:24:00
443,11181,2011-03-24 12:48:00,2011-04-02 14:36:00
325,11141,2010-12-30 21:36:00,2010-12-31 17:24:00
5675,12368,2015-06-11 00:48:00,2015-06-11 20:36:00
5885,12403,2015-08-17 13:24:00,2015-08-25 22:12:00
4225,12087,2014-06-09 15:36:00,2014-06-18 00:24:00
4231,12089,2014-06-10 20:24:00,2014-06-19 05:48:00
480,11185,2011-04-03 19:00:00,2011-04-12 09:48:00
6383,12506,2016-02-22 13:48:00,2016-03-03 01:00:00
7274,12714,2018-06-17 21:12:00,2018-06-18 17:00:00
3012,11806,2013-07-26 03:00:00,2013-08-03 12:48:00
1611,11469,2012-04-23 19:12:00,2012-05-02 06:00:00
7260,12710,2018-05-21 00:48:00,2018-05-29 11:12:00
899,11303,2011-09-24 01:00:00,2011-09-24 22:48:00
7248,12704,2018-04-12 03:48:00,2018-04-12 23:48:00
2442,11665,2013-02-01 00:00:00,2013-02-01 19:48:00
6803,12602,2016-10-11 01:48:00,2016-10-19 10:12:00
2522,11689,2013-03-02 10:12:00,2013-03-12 03:36:00
4190,12079,2014-05-31 11:36:00,2014-06-08 20:12:00
3199,11850,2013-09-18 10:00:00,2013-09-27 10:00:00
3364,11893,2013-11-07 13:24:00,2013-11-15 21:36:00
1573,11462,2012-04-14 05:12:00,2012-04-22 20:00:00
245,11121,2010-11-03 23:24:00,2010-11-12 18:12:00
4379,12121,2014-07-21 11:48:00,2014-07-30 02:36:00
279,11131,2010-12-01 05:48:00,2010-12-09 14:48:00
4351,12114,2014-07-07 11:12:00,2014-07-16 01:36:00
6585,12549,2016-05-26 21:48:00,2016-05-27 17:36:00
6591,12550,2016-05-29 23:36:00,2016-05-30 19:24:00
4390,12125,2014-07-25 09:48:00,2014-08-02 20:00:00
284,11133,2010-12-03 19:48:00,2010-12-12 06:48:00
6544,12543,2016-05-07 17:00:00,2016-05-16 09:24:00
2044,11576,2012-09-18 09:48:00,2012-09-27 15:36:00
6550,12544,2016-05-09 02:24:00,2016-05-17 18:48:00
7100,12670,2017-07-31 23:48:00,2017-08-09 09:12:00
3366,11897,2013-11-09 14:12:00,2013-11-17 22:00:00
4186,12077,2014-05-30 00:24:00,2014-06-07 09:00:00
5298,12297,2015-03-05 23:24:00,2015-03-15 11:36:00
6949,12635,2017-02-08 16:12:00,2017-02-09 12:24:00
2291,11631,2012-12-11 19:24:00,2012-12-12 15:12:00
4810,12210,2014-11-10 01:24:00,2014-11-18 15:00:00
6961,12641,2017-02-27 02:12:00,2017-03-08 10:36:00
6975,12645,2017-03-27 03:12:00,2017-04-04 11:48:00
2520,11687,2013-03-01 19:36:00,2013-03-10 17:24:00
4623,12181,2014-09-28 09:36:00,2014-10-06 17:48:00
3602,11938,2014-01-07 22:48:00,2014-01-08 01:12:00
4179,12083,2014-05-28 14:48:00,2014-06-07 02:36:00
6829,12607,2016-10-31 21:12:00,2016-11-09 08:24:00
6815,12603,2016-10-19 02:24:00,2016-10-27 21:48:00
6154,12462,2015-12-02 18:36:00,2015-12-11 03:00:00
